keyword,url,title,date_published,snippet,scraped_at
berita terkini yang banyak di cari yang berhubungan dengan dunia kreatif,https://baznas.go.id/artikel-show/Takjil-Buka-Puasa-Kekinian-yang-Viral-dan-Banyak-Dicari/1098,Takjil Buka Puasa Kekinian yang Viral dan Banyak Dicari,,Takjil Buka Puasa Kekinian yang Viral dan Banyak Dicari,2025-09-22T16:06:49.825012
berita terkini yang banyak di cari yang berhubungan dengan dunia kreatif,https://www.bbc.com/indonesia/articles/c74xvdemljjo,PPN 12% dan sembilan pungutan baru yang akan menguras dompet kelas pekerja pada 2025 – 'Ini namanya mencetak orang miskin baru',,PPN 12% dan sembilan pungutan baru yang akan menguras dompet kelas pekerja pada 2025 – 'Ini namanya mencetak orang miskin baru',2025-09-22T16:06:49.825873
berita terkini yang banyak di cari yang berhubungan dengan dunia kreatif,https://infobanknews.com/?p=335712,Ketika Bank Jatim Menjadi Korban “Creative Accounting”,,Ketika Bank Jatim Menjadi Korban “Creative Accounting”,2025-09-22T16:06:49.827402
berita terkini yang banyak di cari yang berhubungan dengan dunia kreatif,https://www.inilah.com/kumpulan-contoh-prompt-ai-keren,"50 Contoh Prompt AI Keren untuk Konten Kreatif, Lucu, dan Unik di ChatGPT dan DALL-E",,"50 Contoh Prompt AI Keren untuk Konten Kreatif, Lucu, dan Unik di ChatGPT dan DALL-E",2025-09-22T16:06:49.827402
berita terkini yang banyak di cari yang berhubungan dengan dunia kreatif,https://kemenparekraf.go.id/berita/siaran-pers-nilai-tambah-ekonomi-kreatif-capai-5565-persen-dari-target-tahun-2024,"Siaran Pers: Nilai Tambah Ekonomi Kreatif Capai 55,65 Persen dari Target Tahun 2024",,"Siaran Pers: Nilai Tambah Ekonomi Kreatif Capai 55,65 Persen dari Target Tahun 2024",2025-09-22T16:06:49.827402
berita terkini yang banyak di cari yang berhubungan dengan dunia kreatif,https://umsida.ac.id/keberadaan-industri-kreatif-dan-ai/,"Artificial Intelligence Berpotensi Mengancam Industri Kreatif, Tapi…",,"Artificial Intelligence Berpotensi Mengancam Industri Kreatif, Tapi…",2025-09-22T16:06:49.836352
berita terkini yang banyak di cari yang berhubungan dengan dunia kreatif,https://unair.ac.id/industri-kuliner-sebagai-warisan-budaya-indonesia/,Industri Kuliner sebagai Warisan Budaya Indonesia,,Industri Kuliner sebagai Warisan Budaya Indonesia,2025-09-22T16:06:49.837227
berita terkini yang banyak di cari yang berhubungan dengan dunia kreatif,https://itb.ac.id/berita/tim-mahasiswa-teknik-informatika-itb-juara-1-kompetisi-dunia-kreatif-dengan-generative-ai-2023/60028,Tim Mahasiswa Teknik Informatika ITB Juara 1 Kompetisi Dunia Kreatif dengan Generative AI 2023,,Tim Mahasiswa Teknik Informatika ITB Juara 1 Kompetisi Dunia Kreatif dengan Generative AI 2023,2025-09-22T16:06:49.839156
berita terkini yang banyak di cari yang berhubungan dengan dunia kreatif,https://www.tempo.co/ekonomi/25-situs-untuk-cari-kerja-freelance-indonesia-dan-luar-negeri-5583,25 Situs untuk Cari Kerja Freelance Indonesia dan Luar Negeri,,25 Situs untuk Cari Kerja Freelance Indonesia dan Luar Negeri,2025-09-22T16:06:49.841683
berita terkini yang banyak di cari yang berhubungan dengan dunia kreatif,https://communication.uii.ac.id/menyiapkan-diri-menghadapi-era-society-5-0-bagaimana-caranya/,"Menyiapkan Diri Menghadapi Era Society 5.0, Bagaimana Caranya?",,"Menyiapkan Diri Menghadapi Era Society 5.0, Bagaimana Caranya?",2025-09-22T16:06:49.841683
