keyword,url,title,date_published,snippet,scraped_at
buat,https://finance.detik.com/energi/d-8116054/bahlil-minta-swasta-gandeng-pertamina-buat-isi-stok-bbm-di-spbu,Bahlil Minta Swasta Gandeng Pertamina buat Isi Stok BBM di SPBU,,Bahlil Minta Swasta Gandeng Pertamina buat Isi Stok BBM di SPBU,2025-09-17T13:36:07.042676
buat,https://www.cnbcindonesia.com/tech/20250916153710-37-667455/prabowo-kasih-diskon-jkk-jkm-buat-ojol-ini-kata-grab-dan-indrive,"Prabowo Kasih Diskon JKK-JKM Buat Ojol, Ini Kata Grab dan InDrive",,"Prabowo Kasih Diskon JKK-JKM Buat Ojol, Ini Kata Grab dan InDrive",2025-09-17T13:36:07.043677
buat,https://news.republika.co.id/berita/t2o85f409/yang-buat-kpk-heran-sehingga-sasar-khalid-basalamah-di-penyidikan-kasus-korupsi-kuota-haji,Yang Buat KPK Heran Sehingga 'Sasar' Khalid Basalamah di Penyidikan Kasus Korupsi Kuota Haji,,Yang Buat KPK Heran Sehingga 'Sasar' Khalid Basalamah di Penyidikan Kasus Korupsi Kuota Haji,2025-09-17T13:36:07.044188
buat,https://tirto.id/kenapa-gemini-ai-tidak-bisa-buat-gambar-edit-foto-meski-sudah-pakai-prompt-hhPZ,Kenapa Gemini AI Tidak Bisa Buat Gambar Meski Sudah Ada Prompt?,,Kenapa Gemini AI Tidak Bisa Buat Gambar Meski Sudah Ada Prompt?,2025-09-17T13:36:07.044188
buat,https://jakarta.suara.com/read/2025/09/17/114752/link-dana-kaget-rp-245-ribu-buat-tambahan-uang-jajanmu-dapatkan-segera,"Link DANA Kaget Rp 245 Ribu Buat Tambahan Uang Jajanmu, Dapatkan Segera",,"Link DANA Kaget Rp 245 Ribu Buat Tambahan Uang Jajanmu, Dapatkan Segera",2025-09-17T13:36:07.044188
buat,https://jabar.jpnn.com/kriminal/26957/demi-melunasi-utang-pinjol-wanita-di-depok-nekat-buat-laporan-palsu-pembegalan,"Demi Melunasi Utang Pinjol, Wanita di Depok Nekat Buat Laporan Palsu Pembegalan",,"Demi Melunasi Utang Pinjol, Wanita di Depok Nekat Buat Laporan Palsu Pembegalan",2025-09-17T13:36:07.044188
buat,https://www.liputan6.com/hot/read/6160208/cara-buat-foto-polaroid-masa-kecil-dengan-sekarang-di-gemini-ai-lengkap-dengan-prompt,"Cara Buat Foto Polaroid Masa Kecil dengan Sekarang di Gemini AI, Lengkap dengan Prompt",,"Cara Buat Foto Polaroid Masa Kecil dengan Sekarang di Gemini AI, Lengkap dengan Prompt",2025-09-17T13:36:07.044188
buat,https://www.antaranews.com/berita/5111829/santriwati-ppi-amf-buat-es-krim-dari-daun-kelor-untuk-cegah-stunting,Santriwati PPI AMF buat es krim dari daun kelor untuk cegah stunting,,Santriwati PPI AMF buat es krim dari daun kelor untuk cegah stunting,2025-09-17T13:36:07.044188
buat,https://aceh.tribunnews.com/news/986278/10-prompt-gemini-ai-buat-foto-casual-dan-stylish-ala-photoshoot-studio-profesionalcuma-pakai-selfie,"10 Prompt Gemini AI Buat Foto Casual dan Stylish Ala Photoshoot Studio Profesional,Cuma Pakai Selfie",,"10 Prompt Gemini AI Buat Foto Casual dan Stylish Ala Photoshoot Studio Profesional,Cuma Pakai Selfie",2025-09-17T13:36:07.044188
buat,https://www.cnbcindonesia.com/tech/20250917112545-37-667702/cara-baru-cari-uang-di-youtube-buat-penghasilan-tambahan,Cara Baru Cari Uang di YouTube Buat Penghasilan Tambahan,,Cara Baru Cari Uang di YouTube Buat Penghasilan Tambahan,2025-09-17T13:36:09.357809
buat,https://rmol.id/publika/read/2025/09/17/680172/dana-sal-jangan-buat-konglomerat,Dana SAL Jangan Buat Konglomerat!,,Dana SAL Jangan Buat Konglomerat!,2025-09-17T13:36:09.357809
buat,https://news.detik.com/berita/d-8115971/hadiri-the-taste-of-papua-papeda-buat-fatma-saifullah-yusuf-terkesima,"Hadiri The Taste of Papua, Papeda Buat Fatma Saifullah Yusuf Terkesima",,"Hadiri The Taste of Papua, Papeda Buat Fatma Saifullah Yusuf Terkesima",2025-09-17T13:36:09.357809
buat,https://insight.kontan.co.id/news/buva-bakal-rights-issue-buat-ekspansi-happy-hapsoro-profit-taking-rp-100-miliar,"BUVA Bakal Rights Issue Buat Ekspansi, Happy Hapsoro Profit Taking Rp 100 Miliar",,"BUVA Bakal Rights Issue Buat Ekspansi, Happy Hapsoro Profit Taking Rp 100 Miliar",2025-09-17T13:36:09.357809
buat,https://otomotif.katadata.co.id/mobil/gac-siap-bawa-mobil-hybrid-perdana-buat-pasar-indonesia-17151,GAC Siap Bawa Mobil Hybrid Perdana buat Pasar Indonesia,,GAC Siap Bawa Mobil Hybrid Perdana buat Pasar Indonesia,2025-09-17T13:36:09.357809
buat,https://validnews.id/kultura/akademisi-untad-buat-olahan-susu-berbahan-jagung,Akademisi Untad Buat Olahan Susu Berbahan Jagung,,Akademisi Untad Buat Olahan Susu Berbahan Jagung,2025-09-17T13:36:09.357809
buat,https://www.tempo.co/hukum/warga-depok-buat-laporan-palsu-kena-begal-padahal-terlilit-pinjol-2070577,"Warga Depok Buat Laporan Palsu Kena Begal, Padahal Terlilit Pinjol",,"Warga Depok Buat Laporan Palsu Kena Begal, Padahal Terlilit Pinjol",2025-09-17T13:36:09.357809
buat,https://finansial.bisnis.com/read/20250917/55/1911886/harga-emas-diramal-terus-naik-kapan-waktu-tepat-buat-beli,"Harga Emas Diramal Terus Naik, Kapan Waktu Tepat Buat Beli?",,"Harga Emas Diramal Terus Naik, Kapan Waktu Tepat Buat Beli?",2025-09-17T13:36:09.357809
buat,https://rri.co.id/daerah/1837436/diskominfo-ppu-latih-kim-buat-video-profil-desa,Diskominfo PPU Latih KIM Buat Video Profil Desa,,Diskominfo PPU Latih KIM Buat Video Profil Desa,2025-09-17T13:36:09.357809
buat,https://jatengprov.go.id/publik/latih-perempuan-brebes-buat-bawang-crispy-nawal-yasin-dorong-mandiri-ekonomi/,"Latih Perempuan Brebes Buat Bawang Crispy, Nawal Yasin Dorong Mandiri Ekonomi",,"Latih Perempuan Brebes Buat Bawang Crispy, Nawal Yasin Dorong Mandiri Ekonomi",2025-09-17T13:36:09.357809
buat,https://aceh.tribunnews.com/nanggroe/986690/yara-minta-bupati-aceh-singkil-buat-proyek-percontohan-program-plasma,YARA Minta Bupati Aceh Singkil Buat Proyek Percontohan Program Plasma,,YARA Minta Bupati Aceh Singkil Buat Proyek Percontohan Program Plasma,2025-09-17T13:36:12.213837
buat,https://regional.kompas.com/read/2025/09/17/102818678/apa-itu-kemarau-basah-fenomena-yang-buat-purworejo-tak-jadi-kekeringan,Apa Itu Kemarau Basah? Fenomena yang Buat Purworejo Tak Jadi Kekeringan,,Apa Itu Kemarau Basah? Fenomena yang Buat Purworejo Tak Jadi Kekeringan,2025-09-17T13:36:12.213837
