keyword,url,title,date_published,snippet,scraped_at
cloud infrastructure software Indonesia,https://www.medcom.id/teknologi/news-teknologi/yNLBxQgk-arcfra-resmi-masuk-ke-indonesia-tawarkan-alternatif-infrastruktur-cloud-dan-ai,"​Arcfra Resmi Masuk ke Indonesia, Tawarkan Alternatif Infrastruktur Cloud dan AI",,"​Arcfra Resmi Masuk ke Indonesia, Tawarkan Alternatif Infrastruktur Cloud dan AI",2025-09-17T14:57:45.547782
cloud infrastructure software Indonesia,https://www.kompas.id/artikel/en-investasi-microsoft-di-malaysia-lebih-besar-daripada-di-indonesia,Microsoft's investment in Malaysia is bigger than in Indonesia,,Microsoft's investment in Malaysia is bigger than in Indonesia,2025-09-17T14:57:45.547782
cloud infrastructure software Indonesia,https://en.antaranews.com/news/348701/palo-alto-networks-deepens-commitment-in-asia-pacific-and-japan-with-new-cloud-infrastructure-investment,Palo Alto Networks Deepens Commitment in Asia-Pacific and Japan with New Cloud Infrastructure Investment,,Palo Alto Networks Deepens Commitment in Asia-Pacific and Japan with New Cloud Infrastructure Investment,2025-09-17T14:57:45.547782
cloud infrastructure software Indonesia,https://blog.google/intl/id-id/products/cloud/google-cloud-perluas-kapasitas-pusat-data-ai-di-indonesia/,Google Cloud perluas kapasitas pusat data AI di Indonesia,,Google Cloud perluas kapasitas pusat data AI di Indonesia,2025-09-17T14:57:45.547782
cloud infrastructure software Indonesia,https://www.techinasia.com/news/oracle-said-to-be-in-talks-for-cloud-center-in-indonesia,Oracle said to be in talks for cloud center in Indonesia,,Oracle said to be in talks for cloud center in Indonesia,2025-09-17T14:57:45.547782
cloud infrastructure software Indonesia,https://techwireasia.com/2025/05/microsoft-opens-cloud-regions-in-malaysia-and-indonesia/,Microsoft opens cloud regions in Malaysia and Indonesia,,Microsoft opens cloud regions in Malaysia and Indonesia,2025-09-17T14:57:45.547782
cloud infrastructure software Indonesia,https://www.researchgate.net/publication/381435412_Penerapan_Cloud_Computing_Pada_Industri_Perbankan,(PDF) Penerapan Cloud Computing Pada Industri Perbankan,,(PDF) Penerapan Cloud Computing Pada Industri Perbankan,2025-09-17T14:57:45.552243
cloud infrastructure software Indonesia,https://www.cnbcindonesia.com/tech/20181220132155-37-47279/ketika-bank-milik-negara-gabungkan-teknologi-awan,Ketika Bank Milik Negara Gabungkan Teknologi 'Awan',,Ketika Bank Milik Negara Gabungkan Teknologi 'Awan',2025-09-17T14:57:45.552243
cloud infrastructure software Indonesia,https://swa.co.id/read/238314/lintasarta-raih-indonesia-cloud-infrastructure-services-provider-of-the-year,Lintasarta Raih “Indonesia Cloud Infrastructure Services Provider of the Year”,,Lintasarta Raih “Indonesia Cloud Infrastructure Services Provider of the Year”,2025-09-17T14:57:45.552243
cloud infrastructure software Indonesia,https://uinjkt.ac.id/id/cloud-computing-solusi-efisien-bagi-perusahaan-dan-organisasi,"Cloud Computing, Solusi Efisien bagi Perusahaan dan Organisasi",,"Cloud Computing, Solusi Efisien bagi Perusahaan dan Organisasi",2025-09-17T14:57:45.552243
