keyword,url,title,date_published,snippet,scraped_at
jasa,https://jatengprov.go.id/publik/ahmad-luthfi-dorong-industri-jasa-keuangan-gerakkan-ekonomi-desa/,Ahmad Luthfi Dorong Industri Jasa Keuangan Gerakkan Ekonomi Desa,,Ahmad Luthfi Dorong Industri Jasa Keuangan Gerakkan Ekonomi Desa,2025-09-17T13:35:57.911780
jasa,https://news.ddtc.co.id/berita/nasional/1813742/jasa-pelatihan-dan-seminar-dipotong-pph-pasal-23-ini-kata-kring-pajak,Jasa Pelatihan dan Seminar Dipotong PPh Pasal 23? Ini Kata Kring Pajak,,Jasa Pelatihan dan Seminar Dipotong PPh Pasal 23? Ini Kata Kring Pajak,2025-09-17T13:35:57.911780
jasa,https://beritajatim.com/karyawan-pt-dlu-ziarah-makam-abikoesno-tjokrosoejoso-hormati-jasa-menhub-pertama-ri,"Karyawan PT DLU Ziarah Makam Abikoesno Tjokrosoejoso, Hormati Jasa Menhub Pertama RI",,"Karyawan PT DLU Ziarah Makam Abikoesno Tjokrosoejoso, Hormati Jasa Menhub Pertama RI",2025-09-17T13:35:57.911780
jasa,https://wartakota.tribunnews.com/otomotif/867710/promo-spesial-hari-pelanggan-wahana-kasih-diskon-jasa-servis-30-persen-untuk-motor-matic-honda,"Promo Spesial Hari Pelanggan, Wahana Kasih Diskon Jasa Servis 30 Persen untuk Motor Matic Honda",,"Promo Spesial Hari Pelanggan, Wahana Kasih Diskon Jasa Servis 30 Persen untuk Motor Matic Honda",2025-09-17T13:35:57.911780
jasa,https://jatim.antaranews.com/berita/975769/ojk-ajak-pemkab-situbondo-fasilitasi-akses-umkm-ke-jasa-keuangan,OJK ajak Pemkab Situbondo fasilitasi akses UMKM ke jasa keuangan,,OJK ajak Pemkab Situbondo fasilitasi akses UMKM ke jasa keuangan,2025-09-17T13:35:57.911780
jasa,https://www.beritasatu.com/network/bisnistoday/677927/revitalisasi-gerbang-tol-dalam-kota-jasa-marga-berlakukan-pembatasan-akses-kendaraan-non-golongan-i,"Revitalisasi Gerbang Tol Dalam Kota, Jasa Marga Berlakukan Pembatasan Akses Kendaraan Non Golongan I",,"Revitalisasi Gerbang Tol Dalam Kota, Jasa Marga Berlakukan Pembatasan Akses Kendaraan Non Golongan I",2025-09-17T13:35:57.911780
jasa,https://jatim.jpnn.com/jatim-terkini/39977/resmi-diluncurkan-winme-tawarkan-solusi-jualan-instan-produk-digital-hingga-jasa,"Resmi Diluncurkan, Winme Tawarkan Solusi Jualan Instan Produk Digital Hingga Jasa",,"Resmi Diluncurkan, Winme Tawarkan Solusi Jualan Instan Produk Digital Hingga Jasa",2025-09-17T13:35:57.915955
jasa,https://radarjogja.jawapos.com/pemerintahan/656576060/podcast-biro-pengadaan-barang-dan-jasa-setda-diy-digitalisasi-permudah-layanan-ke-masyarakat,"Podcast Biro Pengadaan Barang dan Jasa Setda DIY, Digitalisasi Permudah Layanan ke Masyarakat - Radar Jogja",,"Podcast Biro Pengadaan Barang dan Jasa Setda DIY, Digitalisasi Permudah Layanan ke Masyarakat - Radar Jogja",2025-09-17T13:35:57.915955
jasa,https://rri.co.id/bisnis/1836735/wamendag-dorong-indonesia-ekspansi-jasa-profesional-ke-eropa,Wamendag Dorong Indonesia Ekspansi Jasa Profesional ke Eropa,,Wamendag Dorong Indonesia Ekspansi Jasa Profesional ke Eropa,2025-09-17T13:35:57.915955
jasa,https://regional.kompas.com/read/2025/09/16/163943478/ahmad-luthfi-dorong-industri-jasa-keuangan-beri-bantuan-untuk-42-juta-umkm,"Ahmad Luthfi Dorong Industri Jasa Keuangan Beri Bantuan untuk 4,2 Juta UMKM di Jateng",,"Ahmad Luthfi Dorong Industri Jasa Keuangan Beri Bantuan untuk 4,2 Juta UMKM di Jateng",2025-09-17T13:35:57.915955
