keyword,url,title,date_published,snippet,scraped_at
jasa manajemen sosial media,https://www.researchgate.net/publication/346164503_SOSIALISASI_MANAJEMEN_MARKETING_ONLINE_MENGGUNAKAN_BLOG_PADA_UMKM_JASA_PENJAHIT_BAJU_DI_PASAR_PADAYUNGAN_KOTA_TASIKMALAYA,(PDF) SOSIALISASI MANAJEMEN MARKETING ONLINE MENGGUNAKAN BLOG PADA UMKM JASA PENJAHIT BAJU DI PASAR PADAYUNGAN KOTA TASIKMALAYA,,(PDF) SOSIALISASI MANAJEMEN MARKETING ONLINE MENGGUNAKAN BLOG PADA UMKM JASA PENJAHIT BAJU DI PASAR PADAYUNGAN KOTA TASIKMALAYA,2025-09-17T14:23:10.715246
jasa manajemen sosial media,https://www.cnbcindonesia.com/news/20250901095958-4-663132/jasa-marga-percepat-perbaikan-pemulihan-layanan-di-gerbang-tol,Jasa Marga Percepat Perbaikan & Pemulihan Layanan di Gerbang Tol,,Jasa Marga Percepat Perbaikan & Pemulihan Layanan di Gerbang Tol,2025-09-17T14:23:10.715246
jasa manajemen sosial media,https://sahabat.pegadaian.co.id/artikel/keuangan/begini-cara-mendapatkan-uang-dari-tiktok,"Cara Agar Dapat Uang dari Tiktok, Cocok Untuk Pemula",,"Cara Agar Dapat Uang dari Tiktok, Cocok Untuk Pemula",2025-09-17T14:23:10.722262
jasa manajemen sosial media,https://ukmindonesia.id/baca-deskripsi-posts/5-peluang-usaha-terbaru-di-bidang-pemasaran-digital-yang-menguntungkan,5 Peluang Usaha Terbaru di Bidang Pemasaran Digital yang Menguntungkan,,5 Peluang Usaha Terbaru di Bidang Pemasaran Digital yang Menguntungkan,2025-09-17T14:23:10.722262
jasa manajemen sosial media,https://nasional.kompas.com/read/2025/04/07/14583781/profil-permadi-arya-pegiat-media-sosial-yang-dikabarkan-jadi-komisaris-pt,"Profil Permadi Arya, Pegiat Media Sosial yang Dikabarkan Jadi Komisaris PT Jasa Marga Tollroad Operator",,"Profil Permadi Arya, Pegiat Media Sosial yang Dikabarkan Jadi Komisaris PT Jasa Marga Tollroad Operator",2025-09-17T14:23:10.722262
jasa manajemen sosial media,https://www.nasionalnews.id/ekonomi/ini-5-pekerjaan-virtual-assistant-paling-populer-di-indonesia/,Ini 5 Pekerjaan Virtual Assistant Paling Populer Di Indonesia,,Ini 5 Pekerjaan Virtual Assistant Paling Populer Di Indonesia,2025-09-17T14:23:10.722262
jasa manajemen sosial media,https://www.liputan6.com/citizen6/read/5971106/10-ide-bisnis-online-yang-menjanjikan-di-tahun-ini-segera-mulai-usaha-anda,"10 Ide Bisnis Online yang Menjanjikan di Tahun Ini, Segera Mulai Usaha Anda",,"10 Ide Bisnis Online yang Menjanjikan di Tahun Ini, Segera Mulai Usaha Anda",2025-09-17T14:23:10.724272
jasa manajemen sosial media,https://www.researchgate.net/publication/333218993_ANALISIS_STRATEGI_E-PROMOTION_JASA_MAKE-UP_ARTIST_MELALUI_INSTGRAM_Studi_Pada_Chels_Makeup_artist_di_Bandar_Lampung,ARTIST MELALUI INSTGRAM (Studi Pada Chels Makeup,,ARTIST MELALUI INSTGRAM (Studi Pada Chels Makeup,2025-09-17T14:23:10.724873
jasa manajemen sosial media,https://ortax.org/pph-pasal-21-influencer,"Bayar Influencer, Apakah Perusahaan Perlu Potong PPh Pasal 21?",,"Bayar Influencer, Apakah Perusahaan Perlu Potong PPh Pasal 21?",2025-09-17T14:23:10.724873
jasa manajemen sosial media,https://www.cnbcindonesia.com/market/20250310123436-17-617179/ojk-akan-awasi-influencer-saham-atur-perilaku-di-media-sosial,"OJK Akan Awasi Influencer Saham, Atur Perilaku di Media Sosial",,"OJK Akan Awasi Influencer Saham, Atur Perilaku di Media Sosial",2025-09-17T14:23:10.725892
