keyword,url,title,date_published,snippet,scraped_at
jasa pembuatan aplikasi di jakarta,https://teknologi.id/bisnis/10-rekomendasi-layanan-pembuatan-aplikasi-mobile-terbaik-di-indonesia-2025,10 Rekomendasi Layanan Pembuatan Aplikasi Mobile Terbaik di Indonesia 2025,,10 Rekomendasi Layanan Pembuatan Aplikasi Mobile Terbaik di Indonesia 2025,2025-09-22T15:58:10.146410
jasa pembuatan aplikasi di jakarta,https://anri.go.id/publikasi/berita/mahasiswa-prodi-kearsipan-digital-unpad-kunjungi-pusat-jasa-kearsipan,Mahasiswa Prodi Kearsipan Digital UNPAD Kunjungi Pusat Jasa Kearsipan,,Mahasiswa Prodi Kearsipan Digital UNPAD Kunjungi Pusat Jasa Kearsipan,2025-09-22T15:58:10.147930
jasa pembuatan aplikasi di jakarta,https://teknologi.id/insight/8-software-company-yang-mendukung-transformasi-digital-umkm-di-indonesia,8 Software Company yang Mendukung Transformasi Digital UMKM di Indonesia,,8 Software Company yang Mendukung Transformasi Digital UMKM di Indonesia,2025-09-22T15:58:10.149943
jasa pembuatan aplikasi di jakarta,https://nasional.kontan.co.id/news/coretax-system-tuai-protes-wajib-pajak-ini-yang-harus-dilakukan-pemerintah,"Coretax System Tuai Protes Wajib Pajak, Ini yang Harus Dilakukan Pemerintah",,"Coretax System Tuai Protes Wajib Pajak, Ini yang Harus Dilakukan Pemerintah",2025-09-22T15:58:10.150945
jasa pembuatan aplikasi di jakarta,https://www.tempo.co/ekonomi/profil-anak-usaha-lg-group-asal-korea-selatan-pemenang-tender-pengadaan-coretax-senilai-rp-1-2-triliun-1191879,"Profil Anak Usaha LG Group Asal Korea Selatan, Pemenang Tender Pengadaan Coretax Senilai Rp 1,2 Triliun",,"Profil Anak Usaha LG Group Asal Korea Selatan, Pemenang Tender Pengadaan Coretax Senilai Rp 1,2 Triliun",2025-09-22T15:58:10.150945
jasa pembuatan aplikasi di jakarta,https://bisnika.hops.id/inspiratif/30714130078/cerita-jatuh-bangun-rafi-haikal-berkarier-di-bidang-arsitektur-bersama-urbahn-international,Cerita jatuh bangun Rafi Haikal berkarier di bidang arsitektur bersama Urbahn International - Bisnika,,Cerita jatuh bangun Rafi Haikal berkarier di bidang arsitektur bersama Urbahn International - Bisnika,2025-09-22T15:58:10.151938
jasa pembuatan aplikasi di jakarta,https://ojk.go.id/id/tentang-ojk/pages/struktur-organisasi.aspx,Struktur Organisasi,,Struktur Organisasi,2025-09-22T15:58:10.152942
jasa pembuatan aplikasi di jakarta,https://beritaplus.id/news-2840-polres-cianjur-tangkap-terduga-pelaku-pembuat-website-aplikasi-judi-online,Polres Cianjur Tangkap Terduga Pelaku Pembuat Website Aplikasi Judi Online,,Polres Cianjur Tangkap Terduga Pelaku Pembuat Website Aplikasi Judi Online,2025-09-22T15:58:10.152942
jasa pembuatan aplikasi di jakarta,https://tebingtinggikota.go.id/berita/artikel/pengembangan-potensi-kota-tebing-tinggi-di-sektor-industri-kreatif-umkm-berkelas-menuju-tebing-tinggi-emas-tahun-2030-melalui-aplikasi-tub,PENGEMBANGAN POTENSI KOTA TEBING TINGGI DI SEKTOR INDUSTRI KREATIF UMKM BERKELAS MENUJU TEBING TINGGI EMAS TAHUN 2030 MELALUI APLIKASI TUB - Website Resmi Pemerintah Kota Tebing Tinggi,,PENGEMBANGAN POTENSI KOTA TEBING TINGGI DI SEKTOR INDUSTRI KREATIF UMKM BERKELAS MENUJU TEBING TINGGI EMAS TAHUN 2030 MELALUI APLIKASI TUB - Website Resmi Pemerintah Kota Tebing Tinggi,2025-09-22T15:58:10.153939
jasa pembuatan aplikasi di jakarta,https://bpjph.halal.go.id/detail/mau-urus-sertifikasi-halal-ajukan-lewat-aplikasi-pusaka-kemenag/,Mau Urus Sertifikasi Halal? Ajukan Lewat Aplikasi PUSAKA Kemenag,,Mau Urus Sertifikasi Halal? Ajukan Lewat Aplikasi PUSAKA Kemenag,2025-09-22T15:58:10.159492
