keyword,url,title,date_published,snippet,scraped_at
low-code platform populer,https://tirto.id/vibe-coding-bikin-aplikasi-tanpa-koding-lewat-ai-hgWT,Vibe Coding: Bikin Aplikasi Tanpa Koding Lewat AI,,Vibe Coding: Bikin Aplikasi Tanpa Koding Lewat AI,2025-09-17T14:57:34.795373
low-code platform populer,https://koran-jakarta.com/2025-02-10/outsystems-merilis-mentor-pekerja-digital-bertenaga-ai-untuk-pembuatan-aplikasi-dan-otomatisasi-sldc-di-low-code-platform,"OutSystems Merilis Mentor, Pekerja Digital Bertenaga AI untuk Pembuatan Aplikasi dan Otomatisasi SLDC di Low Code Platform",,"OutSystems Merilis Mentor, Pekerja Digital Bertenaga AI untuk Pembuatan Aplikasi dan Otomatisasi SLDC di Low Code Platform",2025-09-17T14:57:34.795373
low-code platform populer,https://tirto.id/soracom-applauded-by-frost-sullivan-for-enabling-deeply-embedded-genai-capabilities-to-build-low-code-iot-applications-hg88,Soracom Applauded by Frost & Sullivan for Enabling Deeply Embedded GenAI Capabilities to Build Low-Code IoT Applications with Its Cloud-Native Platform-as-a-Service (PaaS) Platform,,Soracom Applauded by Frost & Sullivan for Enabling Deeply Embedded GenAI Capabilities to Build Low-Code IoT Applications with Its Cloud-Native Platform-as-a-Service (PaaS) Platform,2025-09-17T14:57:34.795373
low-code platform populer,https://tirto.id/digital-edge-and-bgrimm-power-break-ground-on-first-eec-data-center-advancing-thailands-ai-and-cloud-infrastructure-a-hhao,"Digital Edge and B.Grimm Power Break Ground on First EEC Data Center, Advancing Thailand's AI and Cloud Infrastructure Ambitions.",,"Digital Edge and B.Grimm Power Break Ground on First EEC Data Center, Advancing Thailand's AI and Cloud Infrastructure Ambitions.",2025-09-17T14:57:34.797384
low-code platform populer,https://miitel.com/id/7-tren-crm-sistem-terbaru-di-dunia-bisnis/,7 Tren CRM Sistem Terbaru di Dunia Bisnis,,7 Tren CRM Sistem Terbaru di Dunia Bisnis,2025-09-17T14:57:34.797384
low-code platform populer,https://www.suara.com/bisnis/2024/11/13/103839/4-lowongan-kerja-remote-gaji-dolar-di-perusahaan-indonesia-dan-luar-negeri,4 Lowongan Kerja Remote Gaji Dolar di Perusahaan Indonesia dan Luar Negeri,,4 Lowongan Kerja Remote Gaji Dolar di Perusahaan Indonesia dan Luar Negeri,2025-09-17T14:57:34.797384
low-code platform populer,https://tirto.id/hong-ha-from-student-memories-to-a-generational-connection-at-the-love-gathering-hhak,Hong Ha: From Student Memories to a Generational Connection at the LOVE Gathering,,Hong Ha: From Student Memories to a Generational Connection at the LOVE Gathering,2025-09-17T14:57:34.797384
low-code platform populer,https://east.vc/id/berita/from-portfolios/feedloop-perkenalkan-inovasi-berbasis-ai-untuk-efisiensi-proses-bisnis,Feedloop perkenalkan inovasi berbasis AI untuk efisiensi proses bisnis,,Feedloop perkenalkan inovasi berbasis AI untuk efisiensi proses bisnis,2025-09-17T14:57:34.799393
low-code platform populer,https://indodax.com/academy/4-crypto-naik-agustus-sebelum-berakhir/,4 Crypto Ini Siap Naik Pesat Sebelum Akhir Agustus 2024!,,4 Crypto Ini Siap Naik Pesat Sebelum Akhir Agustus 2024!,2025-09-17T14:57:34.799393
low-code platform populer,https://tirto.id/outsystems-asia-pacific-appoints-muralee-kanagaratnam-as-regional-vp-partners-alliances-to-strengthen-partner-driven-hhal,"OutSystems Asia-Pacific Appoints Muralee Kanagaratnam as Regional VP, Partners & Alliances to Strengthen Partner-Driven Growth",,"OutSystems Asia-Pacific Appoints Muralee Kanagaratnam as Regional VP, Partners & Alliances to Strengthen Partner-Driven Growth",2025-09-17T14:57:34.799393
low-code platform populer,https://tirto.id/amorepacific-debuts-at-ifa-2025-unveils-new-beauty-device-hhan,"Amorepacific Debuts at IFA 2025, Unveils New Beauty Device",,"Amorepacific Debuts at IFA 2025, Unveils New Beauty Device",2025-09-17T14:57:38.732099
low-code platform populer,https://www.shopify.com/blog/best-ecommerce-platforms,11 Best Ecommerce Platforms for Your Business in 2025,,11 Best Ecommerce Platforms for Your Business in 2025,2025-09-17T14:57:38.732099
low-code platform populer,https://www.simplilearn.com/best-programming-languages-start-learning-today-article,Best Programming Languages to Learn in 2025 | Complete List,,Best Programming Languages to Learn in 2025 | Complete List,2025-09-17T14:57:38.732099
low-code platform populer,https://explodingtopics.com/blog/technology-trends,13 Top Technology Trends (2025),,13 Top Technology Trends (2025),2025-09-17T14:57:38.732099
low-code platform populer,https://www.cio.com/article/2099497/innovative-data-integration-in-2024-pioneering-the-future-of-data-integration.html,Innovative data integration in 2024: Pioneering the future of data integration,,Innovative data integration in 2024: Pioneering the future of data integration,2025-09-17T14:57:38.732099
low-code platform populer,https://www.shopify.com/uk/blog/open-source-ecommerce,5 Best Free Open-Source Ecommerce Platforms (2025),,5 Best Free Open-Source Ecommerce Platforms (2025),2025-09-17T14:57:38.735391
low-code platform populer,https://www.cbsnews.com/news/the-8-best-forex-brokers-in-the-usa-update/,The 8 best forex brokers in the USA,,The 8 best forex brokers in the USA,2025-09-17T14:57:38.735391
low-code platform populer,https://www.coingecko.com/en/categories/gaming,Top Gaming (GameFi) Coins by Market Cap,,Top Gaming (GameFi) Coins by Market Cap,2025-09-17T14:57:38.735391
low-code platform populer,https://www.simplilearn.com/popular-java-applications-article,16 Most Popular Java Applications Used World-Wide,,16 Most Popular Java Applications Used World-Wide,2025-09-17T14:57:38.735391
low-code platform populer,https://www.simplilearn.com/tutorials/programming-tutorial/backend-languages,Your Guide To the Best Backend Languages For 2025,,Your Guide To the Best Backend Languages For 2025,2025-09-17T14:57:38.735391
