keyword,url,title,date_published,snippet,scraped_at
pembuatan,https://rri.co.id/info-haji/1833816/calon-jamaah-haii-way-kanan-ikuti-pembuatan-paspor,Calon Jamaah Haii Way Kanan Ikuti Pembuatan Paspor,,Calon Jamaah Haii Way Kanan Ikuti Pembuatan Paspor,2025-09-17T13:35:52.252118
pembuatan,https://www.tempo.co/investigasi/lobi-lobi-perusahaan-teknologi-2070172,Cawe-cawe Perusahaan Teknologi dalam Pembuatan Regulasi,,Cawe-cawe Perusahaan Teknologi dalam Pembuatan Regulasi,2025-09-17T13:35:52.252118
pembuatan,https://finance.detik.com/foto-bisnis/d-8113409/intip-pembuatan-pesawat-amfibi-super-cepat-penjinak-kebakaran-hutan,Intip Pembuatan Pesawat Amfibi Super Cepat Penjinak Kebakaran Hutan,,Intip Pembuatan Pesawat Amfibi Super Cepat Penjinak Kebakaran Hutan,2025-09-17T13:35:52.253624
pembuatan,https://nasional.kompas.com/read/2025/09/15/07282731/menteri-ham-pembuatan-tempat-demo-di-halaman-dpr-perlu-diseriusi,Menteri HAM: Pembuatan Tempat Demo di Halaman DPR Perlu Diseriusi,,Menteri HAM: Pembuatan Tempat Demo di Halaman DPR Perlu Diseriusi,2025-09-17T13:35:52.253624
pembuatan,https://mediaindonesia.com/galleries/detail_galleries/44485-antrean-pembuatan-skck-di-surabaya-,Antrean Pembuatan SKCK di Surabaya,,Antrean Pembuatan SKCK di Surabaya,2025-09-17T13:35:52.255130
pembuatan,https://www.prokal.co/kriminal/1776576045/polisi-tangkap-pria-yang-berikan-dana-pembuatan-bom-molotov-aksi-demo-samarinda,Polisi Tangkap Pria yang Berikan Dana Pembuatan Bom Molotov Aksi Demo Samarinda - Prokal,,Polisi Tangkap Pria yang Berikan Dana Pembuatan Bom Molotov Aksi Demo Samarinda - Prokal,2025-09-17T13:35:52.255130
pembuatan,https://www.beritasatu.com/banten/2922629/miris-anak-anak-di-cisauk-terlibat-pembuatan-senjata-tajam,Miris! Anak-anak di Cisauk Terlibat Pembuatan Senjata Tajam,,Miris! Anak-anak di Cisauk Terlibat Pembuatan Senjata Tajam,2025-09-17T13:35:52.256368
pembuatan,https://rri.co.id/daerah/1833632/pelatihan-pembuatan-kue-di-desa-taman,Pelatihan Pembuatan Kue di Desa Taman,,Pelatihan Pembuatan Kue di Desa Taman,2025-09-17T13:35:52.256368
pembuatan,https://rri.co.id/iptek/1832652/pendampingan-pembuatan-es-krim-susu-kambing-di-banyumulek,Pendampingan Pembuatan Es Krim Susu Kambing di Banyumulek,,Pendampingan Pembuatan Es Krim Susu Kambing di Banyumulek,2025-09-17T13:35:52.257387
pembuatan,https://www.tni-au.mil.id/berita/detail/setetes-keringat-untuk-rakyat-prajurit-lanud-ski-hadir-membantu-pembuatan-jalan-usaha-tani-desa-buntu,"Setetes Keringat untuk Rakyat, Prajurit Lanud SKI Hadir Membantu Pembuatan Jalan Usaha Tani Desa Buntu",,"Setetes Keringat untuk Rakyat, Prajurit Lanud SKI Hadir Membantu Pembuatan Jalan Usaha Tani Desa Buntu",2025-09-17T13:35:52.259397
