keyword,url,title,date_published,snippet,scraped_at
pengembang aplikasi jakarta,https://dprd-dkijakartaprov.go.id/pengembangan-aplikasi-jaki-didukung-legislator/,Pengembangan Aplikasi JAKI Didukung Legislator,,Pengembangan Aplikasi JAKI Didukung Legislator,2025-09-17T13:39:40.894990
pengembang aplikasi jakarta,https://www.tempo.co/digital/setelah-komdigi-panggil-pengembang-koin-jagat-berikut-serba-serbi-aplikasi-jagat-1196588,"Setelah Komdigi Panggil Pengembang Koin Jagat, Berikut Serba-serbi Aplikasi Jagat",,"Setelah Komdigi Panggil Pengembang Koin Jagat, Berikut Serba-serbi Aplikasi Jagat",2025-09-17T13:39:40.894990
pengembang aplikasi jakarta,https://nasional.kompas.com/read/2025/01/15/11281881/pengembang-aplikasi-koin-jagat-ada-di-luar-negeri-pertemuan-dengan-komdigi,"Pengembang Aplikasi Koin Jagat Ada di Luar Negeri, Pertemuan dengan Komdigi Digelar Daring",,"Pengembang Aplikasi Koin Jagat Ada di Luar Negeri, Pertemuan dengan Komdigi Digelar Daring",2025-09-17T13:39:40.894990
pengembang aplikasi jakarta,https://www.menpan.go.id/site/berita-terkini/perkuat-birokrasi-pemerintah-lanjutkan-pengembangan-keterpaduan-layanan-digital-nasional,"Perkuat Birokrasi, Pemerintah Lanjutkan Pengembangan Keterpaduan Layanan Digital Nasional",,"Perkuat Birokrasi, Pemerintah Lanjutkan Pengembangan Keterpaduan Layanan Digital Nasional",2025-09-17T13:39:40.894990
pengembang aplikasi jakarta,https://infobanknews.com/komdigi-panggil-pengembang-aplikasi-jagat-io-terkait-gim-berburu-koin-jagat/,Komdigi Panggil Pengembang Aplikasi Jagat.io Terkait Gim Berburu Koin Jagat,,Komdigi Panggil Pengembang Aplikasi Jagat.io Terkait Gim Berburu Koin Jagat,2025-09-17T13:39:40.894990
pengembang aplikasi jakarta,https://teknologi.bisnis.com/read/20250423/84/1871505/f5-investasi-pop-di-ri-sasar-sektor-finansial-hingga-pengembang-aplikasi-ai,"F5 Investasi PoP di RI, Sasar Sektor Finansial hingga Pengembang Aplikasi AI",,"F5 Investasi PoP di RI, Sasar Sektor Finansial hingga Pengembang Aplikasi AI",2025-09-17T13:39:40.894990
pengembang aplikasi jakarta,https://www.antaranews.com/berita/4497953/pengembangan-aplikasi-sapa-umkm-gunakan-kecerdasan-buatan-dinamis,Pengembangan aplikasi Sapa UMKM gunakan kecerdasan buatan dinamis,,Pengembangan aplikasi Sapa UMKM gunakan kecerdasan buatan dinamis,2025-09-17T13:39:40.894990
pengembang aplikasi jakarta,https://www.goriau.com/berita/baca/kontroversi-koin-jagat-pemerintah-panggil-pengembang-aplikasi.html,"Kontroversi ‘Koin Jagat’, Pemerintah Panggil Pengembang Aplikasi",,"Kontroversi ‘Koin Jagat’, Pemerintah Panggil Pengembang Aplikasi",2025-09-17T13:39:40.894990
pengembang aplikasi jakarta,https://prfmnews.pikiran-rakyat.com/nasional/pr-138979296/pengembang-aplikasi-jagat-di-luar-negeri-pemburu-koin-bisa-stres-agresif-hingga-data-privasi-terbongkar,"Pengembang Aplikasi Jagat di Luar Negeri, Pemburu Koin Bisa Stres, Agresif hingga Data Privasi Terbongkar - PRFM News",,"Pengembang Aplikasi Jagat di Luar Negeri, Pemburu Koin Bisa Stres, Agresif hingga Data Privasi Terbongkar - PRFM News",2025-09-17T13:39:40.903571
pengembang aplikasi jakarta,https://megapolitan.kompas.com/read/2025/01/14/06093281/imbas-area-gbk-rusak-pengelola-minta-pengembang-aplikasi-jagat,"Imbas Area GBK Rusak, Pengelola Minta Pengembang Aplikasi Jagat Bertanggung Jawab",,"Imbas Area GBK Rusak, Pengelola Minta Pengembang Aplikasi Jagat Bertanggung Jawab",2025-09-17T13:39:40.904665
