keyword,url,title,date_published,snippet,scraped_at
platform AI agen otomatis Indonesia,https://news.microsoft.com/id-id/2025/05/19/microsoft-build-2025-menyambut-era-agen-ai-dan-membangun-agentic-web-terbuka/,Microsoft Build 2025: Menyambut Era Agen AI dan Membangun Agentic Web Terbuka – Indonesia News Center,,Microsoft Build 2025: Menyambut Era Agen AI dan Membangun Agentic Web Terbuka – Indonesia News Center,2025-09-17T14:57:30.152154
platform AI agen otomatis Indonesia,https://www.tempo.co/info-tempo/-infomedia-gandeng-microsoft-indonesia-perkuat-layanan-contact-center-berbasis-ai-2064540,Infomedia Gandeng Microsoft Indonesia Perkuat Layanan Contact Center berbasis AI,,Infomedia Gandeng Microsoft Indonesia Perkuat Layanan Contact Center berbasis AI,2025-09-17T14:57:30.152154
platform AI agen otomatis Indonesia,https://industri.kontan.co.id/news/ai-sudah-jadi-standard-baru-untuk-customer-experience-di-asia-pasifik,AI Sudah Jadi Standard Baru untuk Customer Experience di Asia Pasifik,,AI Sudah Jadi Standard Baru untuk Customer Experience di Asia Pasifik,2025-09-17T14:57:30.153380
platform AI agen otomatis Indonesia,https://www.bloombergtechnoz.com/detail-news/82567/infomedia-hadirkan-contact-center-ai-bareng-microsoft/2,Infomedia Hadirkan Contact Center AI Bareng Microsoft - Teknologi,,Infomedia Hadirkan Contact Center AI Bareng Microsoft - Teknologi,2025-09-17T14:57:30.153380
platform AI agen otomatis Indonesia,https://www.neraca.co.id/article/223524/alibaba-cloud-umumkan-model-studio-exclusive-di-indonesia-ai-conference-2025,Alibaba Cloud Umumkan Model Studio: Exclusive di Indonesia AI Conference 2025,,Alibaba Cloud Umumkan Model Studio: Exclusive di Indonesia AI Conference 2025,2025-09-17T14:57:30.154495
platform AI agen otomatis Indonesia,https://ekbis.sindonews.com/read/1606853/34/perkuat-ekosistem-digital-alibaba-cloud-rilis-platform-ai-untuk-industri-1755245327/5,"Perkuat Ekosistem Digital, Alibaba Cloud Rilis Platform AI untuk Industri",,"Perkuat Ekosistem Digital, Alibaba Cloud Rilis Platform AI untuk Industri",2025-09-17T14:57:30.154495
platform AI agen otomatis Indonesia,https://blog.google/intl/id-id/company-news/technology/dari-pembelian-hingga-desain-industri-otomotif-mengadopsi-ai-generatif-untuk-mendorong-pertumbuhan/,"Dari pembelian hingga desain, industri otomotif mengadopsi AI generatif untuk mendorong pertumbuhan",,"Dari pembelian hingga desain, industri otomotif mengadopsi AI generatif untuk mendorong pertumbuhan",2025-09-17T14:57:30.155498
platform AI agen otomatis Indonesia,https://cryptonews.com/id/cryptocurrency/ai-trading-bots/,Inilah Daftar AI Trading Bot Terbaik Tahun 2025,,Inilah Daftar AI Trading Bot Terbaik Tahun 2025,2025-09-17T14:57:30.155498
platform AI agen otomatis Indonesia,https://arahjatim.com/bitlion-memperkenalkan-inovasi-ai-untuk-transformasi-kepatuhan-dan-privasi-data-di-indonesia/?pgrelated=2847,Bitlion Memperkenalkan Inovasi AI untuk Transformasi Kepatuhan dan Privasi Data di Indonesia,,Bitlion Memperkenalkan Inovasi AI untuk Transformasi Kepatuhan dan Privasi Data di Indonesia,2025-09-17T14:57:30.156500
platform AI agen otomatis Indonesia,https://www.topik.id/2025/06/makin-canggih-google-pamer-fitur-ai-di-platform-blogger.html,"Makin canggih, Google pamer fitur AI di platform Blogger",,"Makin canggih, Google pamer fitur AI di platform Blogger",2025-09-17T14:57:30.156500
