keyword,url,title,date_published,snippet,scraped_at
software skalabilitas tinggi,https://tabloidpulsa.id/acer-veriton-gn100-ai-mini-workstation-dengan-dukungan-nvidia-gb10/,"Acer Veriton GN100 AI, Mini Workstation dengan Dukungan NVIDIA GB10",,"Acer Veriton GN100 AI, Mini Workstation dengan Dukungan NVIDIA GB10",2025-09-17T14:57:53.422211
software skalabilitas tinggi,https://coinvestasi.com/berita/bitcoin-hyper-atasi-masalah-skalabilitas-bitcoin,Layer-2 Bitcoin Hyper Siap Atasi Masalah Skalabilitas dan Biaya Tinggi di Jaringan Bitcoin,,Layer-2 Bitcoin Hyper Siap Atasi Masalah Skalabilitas dan Biaya Tinggi di Jaringan Bitcoin,2025-09-17T14:57:53.422211
software skalabilitas tinggi,https://coinfolks.id/outlook/bedah-kripto-somnia-network/,Bedah Kripto Somnia Network ($SOMI) - CoinFolks,,Bedah Kripto Somnia Network ($SOMI) - CoinFolks,2025-09-17T14:57:53.422211
software skalabilitas tinggi,https://indodax.com/academy/alex-gluchowski-ceo-matter-labs-zksync-ethereum/,Mengenal Alex Gluchowski: CEO Matter Labs & Inovator zkSync,,Mengenal Alex Gluchowski: CEO Matter Labs & Inovator zkSync,2025-09-17T14:57:53.422211
software skalabilitas tinggi,https://pintu.co.id/news/125540-sui-2025-kecepatan-dan-skalabilitas-blockchain,"Sui Bersiap Hadapi 2025: Blockchain Lebih Cepat, Skalabilitas Tinggi, dan Alat Terdesentralisasi!",,"Sui Bersiap Hadapi 2025: Blockchain Lebih Cepat, Skalabilitas Tinggi, dan Alat Terdesentralisasi!",2025-09-17T14:57:53.426582
software skalabilitas tinggi,https://www.tek.id/tek/intel-luncurkan-dua-gpu-ark-baru-di-computex-2025-b2nnK9t3f,Intel luncurkan dua GPU ARK baru di Computex 2025,,Intel luncurkan dua GPU ARK baru di Computex 2025,2025-09-17T14:57:53.426582
software skalabilitas tinggi,https://crypto.com/id/university/what-are-bitcoin-layer-2s,Apa Itu Bitcoin Layer-2 dan Bagaimana Cara Kerjanya?,,Apa Itu Bitcoin Layer-2 dan Bagaimana Cara Kerjanya?,2025-09-17T14:57:53.426582
software skalabilitas tinggi,https://www.medcom.id/teknologi/news-teknologi/ybDjAnAK-memberdayakan-transformasi-digital-indonesia,Memberdayakan Transformasi Digital Indonesia,,Memberdayakan Transformasi Digital Indonesia,2025-09-17T14:57:53.427989
software skalabilitas tinggi,https://indodax.com/academy/ethereum-naik-pesat-5-rollup/,Ethereum Naik Pesat! 5 Solusi Rollup Ini Bawa Perubahan!,,Ethereum Naik Pesat! 5 Solusi Rollup Ini Bawa Perubahan!,2025-09-17T14:57:53.428841
software skalabilitas tinggi,https://www.medcom.id/teknologi/news-teknologi/JKR5rGOk-amd-ungkap-visi-ekosistem-open-ai-dari-epyc-hingga-instinct,"AMD Ungkap Visi Ekosistem Open AI, dari Epyc Hingga Instinct",,"AMD Ungkap Visi Ekosistem Open AI, dari Epyc Hingga Instinct",2025-09-17T14:57:53.428841
